Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
S100A7	1.098854875584387	0.6944128989376276					U	S100A7	GG1	GG2	5	24	2	10	0.7978595877886959	0.1034466888510683	0.7978595877886959	-0.300995287795691	0.6944128989376276	1.098854875584387
PHLDA1	1.0968210786928032	1.1729488483164596					U	PHLDA1	GG1	GG2	5	24	1	6	1.06848400660795	-0.10446484170850973	1.06848400660795	-0.0283370720848532	1.1729488483164596	1.0968210786928032
C1orf112	1.0928047991987158	1.1062647388138085					U	C1orf112	GG1	GG2	5	24	1	4	1.17900953659133	0.0727447977775216	1.17900953659133	0.0862047373926142	1.1062647388138085	1.0928047991987158
NR0B1	1.0765744006081879	0.9289390688525434					U	NR0B1	GG1	GG2	5	24	1	4	0.435598027495108	-0.4933410413574354	0.435598027495108	-0.64097637311308	0.9289390688525434	1.0765744006081879
ACCS	1.0741494535802272	1.1015280570152635					U	ACCS	GG1	GG2	5	24	1	6	0.910629872850043	-0.1908981841652204	0.910629872850043	-0.16351958073018413	1.1015280570152635	1.0741494535802272
GSTM1	-1.0725282746243854	-0.49710587226625297	-1.1091337075231225	0.2759030667221624	0.9587604446797906	0.018289891838696243	D	GSTM1	GG1	GG2	5	24	5	24	-0.544585144546598	-0.04747927228034504	-0.887047169061606	0.1854811055627795	0.49710587226625297	1.0725282746243854
LPL	1.0691874382354114	1.0608725999474555					U	LPL	GG1	GG2	5	24	1	10	0.721937849331683	-0.3389347506157726	0.721937849331683	-0.3472495889037285	1.0608725999474555	1.0691874382354114
CENPS-CORT	1.066291533533511	0.9208708442146717					U	CENPS-CORT	GG1	GG2	5	24	1	3	0.774425741237786	-0.1464451029768857	0.774425741237786	-0.291865792295725	0.9208708442146717	1.066291533533511
PIGW	1.058754539473362	1.060144814041211					U	PIGW	GG1	GG2	5	24	1	6	0.854107180216776	-0.20603763382443505	0.854107180216776	-0.204647359256586	1.060144814041211	1.058754539473362
MYBPC2	1.05559504986104	0.9138729470455937					U	MYBPC2	GG1	GG2	5	24	2	4	0.6907195736717205	-0.22315337337387325	0.6907195736717205	-0.3648754761893195	0.9138729470455937	1.05559504986104
PRX	1.0530346339138426	1.040033971974643					U	PRX	GG1	GG2	5	24	2	4	0.6654699921645285	-0.37456397981011447	0.6654699921645285	-0.387564641749314	1.040033971974643	1.0530346339138426
NUFIP1	1.045395795915288	0.9396445097158931					U	NUFIP1	GG1	GG2	5	24	2	10	1.252079423623077	0.3124349139071839	1.252079423623077	0.206683627707789	0.9396445097158931	1.045395795915288
RGL1	-1.044034794866763	-1.000687185601034					D	RGL1	GG1	GG2	5	24	1	3	-0.450753003264045	0.549934182336989	-0.450753003264045	0.593281791602718	1.000687185601034	1.044034794866763
CCN1	1.043783965552534	0.9178990763315277	3.9356291430940744	0.0004367388211149629	0.394832929096791	0.4035866342985896	U	CCN1	GG1	GG2	5	24	5	24	0.7078819631530974	-0.21001711317843028	0.945909622262474	-0.09787434329006015	0.9178990763315277	1.043783965552534
CEACAM5	1.0432350079434398	1.0415467801293334					U	CEACAM5	GG1	GG2	5	24	1	8	0.946386106853742	-0.09516067327559152	0.946386106853742	-0.09684890108969776	1.0415467801293334	1.0432350079434398
FBRSL1	-1.0408415065663799	-0.8491449068555663					D	FBRSL1	GG1	GG2	5	24	2	6	-1.4808254499727194	-0.631680543117153	-1.4808254499727194	-0.4399839434063395	0.8491449068555663	1.0408415065663799
GINM1	1.0403625291695904	0.9930905941453454					U	GINM1	GG1	GG2	5	24	1	4	1.12600774704768	0.13291715290233452	1.12600774704768	0.08564521787808949	0.9930905941453454	1.0403625291695904
MYL2	-1.039434016822505	-0.07482670046333517	-0.10776083881011649	0.9148798462254191	0.9926099194498584	0.003221389081460311	D	MYL2	GG1	GG2	5	24	5	24	-1.8172414998932993	-1.7424147994299641	-2.43330378187785	-1.393869765055345	0.07482670046333517	1.039434016822505
ANKRD65	1.0346712809101115	1.01813567950522					U	ANKRD65	GG1	GG2	5	24	2	8	0.8891519162733806	-0.12898376323183935	0.8891519162733806	-0.14551936463673099	1.01813567950522	1.0346712809101115
HBD	1.034252679847978	0.6222199194246192	1.4345960470592047	0.16141432499861633	0.9587604446797906	0.018289891838696243	U	HBD	GG1	GG2	5	24	5	24	-0.07781540827224216	-0.7000353276968614	0.2452824499766	-0.788970229871378	0.6222199194246192	1.034252679847978
SRGN	1.0284167692570074	1.06378152017867					U	SRGN	GG1	GG2	5	24	1	4	1.12775865393038	0.0639771337517101	1.12775865393038	0.0993418846733727	1.06378152017867	1.0284167692570074
ARV1	-1.0252968855008382	-0.8355097744986137					D	ARV1	GG1	GG2	5	24	3	19	-0.8055819075001701	0.029927866998443683	-1.04308204272271	-0.0177851572218719	0.8355097744986137	1.0252968855008382
RLN2	1.0224389754781247	0.9915390426771634					U	RLN2	GG1	GG2	5	24	2	3	0.3545189824885928	-0.6370200601885706	0.3545189824885928	-0.667919992989532	0.9915390426771634	1.0224389754781247
PLEKHH3	1.021480453395967	0.8399084462919832					U	PLEKHH3	GG1	GG2	5	24	1	6	0.579655164990214	-0.26025328130176933	0.579655164990214	-0.441825288405753	0.8399084462919832	1.021480453395967
PIK3IP1	1.018664342958974	0.9684654988814734					U	PIK3IP1	GG1	GG2	5	24	2	18	0.8514613004874689	-0.11700419839400439	0.8514613004874689	-0.167203042471505	0.9684654988814734	1.018664342958974
CDH10	1.005249044221326	1.0173676382321677					U	CDH10	GG1	GG2	5	24	1	5	0.689664496911738	-0.32770314132042966	0.689664496911738	-0.315584547309588	1.0173676382321677	1.005249044221326
ENSG00000288796	0.99854254782875	0.8976470795669405	2.1991818689260025	0.035452118536223966	0.9587604446797906	0.018289891838696243	U	ENSG00000288796	GG1	GG2	5	24	5	24	0.23236686157558264	-0.6652802179913578	0.41749675348473	-0.5810457943440199	0.8976470795669405	0.99854254782875
TTK	0.9972666320731454	0.9669277329062521					U	TTK	GG1	GG2	5	24	2	7	0.9750072455029091	0.008079512596656933	0.9750072455029091	-0.0222593865702363	0.9669277329062521	0.9972666320731454
CROCC2	-0.9948183248564321	-1.004156153353334					D	CROCC2	GG1	GG2	5	24	1	5	-1.32375415875341	-0.319598005400076	-1.32375415875341	-0.328935833896978	1.004156153353334	0.9948183248564321
SPRED2	0.9925785534192428	0.6547839330494909					U	SPRED2	GG1	GG2	5	24	2	11	0.9997847110125271	0.34500077796303613	0.9997847110125271	0.0072061575932842	0.6547839330494909	0.9925785534192428
EDIL3	0.9865014432262049	1.0049567385670155					U	EDIL3	GG1	GG2	5	24	1	4	0.767475080738441	-0.2374816578285745	0.767475080738441	-0.219026362487764	1.0049567385670155	0.9865014432262049
ANKS3	0.984603018209971	0.9697027454146704					U	ANKS3	GG1	GG2	5	24	2	17	0.629630353540134	-0.3400723918745364	0.629630353540134	-0.354972664669837	0.9697027454146704	0.984603018209971
DGCR6L	0.975266886710884	0.9796404224638395					U	DGCR6L	GG1	GG2	5	24	2	15	0.9512172297353685	-0.02842319272847101	0.9512172297353685	-0.0240496569755155	0.9796404224638395	0.975266886710884
PDGFA	0.9749984655375001	1.2487498080088708	3.9308647281931797	0.0004425385889899025	0.394832929096791	0.4035866342985896	U	PDGFA	GG1	GG2	5	24	5	24	1.357857681740995	0.10910787373212417	1.11042729240553	0.13542882686802998	1.2487498080088708	0.9749984655375001
PCDH17	0.9735212496996615	0.9050464729535849					U	PCDH17	GG1	GG2	5	24	2	13	0.7921436979047924	-0.11290277504879247	0.7921436979047924	-0.181377551794869	0.9050464729535849	0.9735212496996615
CA1	0.9719264275251324	0.7212552375419566	1.6145720629635631	0.11653754736916705	0.9587604446797906	0.018289891838696243	U	CA1	GG1	GG2	5	24	5	24	-0.07886495832765039	-0.800120195869607	0.12697578948725	-0.8449506380378824	0.7212552375419566	0.9719264275251324
BDP1	0.9665846612259267	1.090786438805994					U	BDP1	GG1	GG2	5	24	2	12	0.6129695810603701	-0.4778168577456238	0.6129695810603701	-0.35361508016555654	1.090786438805994	0.9665846612259267
TRANK1	0.9586296340005215	0.9298864629376938					U	TRANK1	GG1	GG2	5	24	2	5	1.2247838428875795	0.29489737994988563	1.2247838428875795	0.266154208887058	0.9298864629376938	0.9586296340005215
ZNF440	-0.955662340666542	-0.997117368044033					D	ZNF440	GG1	GG2	5	24	2	7	-0.949599742610294	0.04751762543373899	-0.949599742610294	0.006062598056248	0.997117368044033	0.955662340666542
NDNF	0.9431598795087954	0.9556863175249894					U	NDNF	GG1	GG2	5	24	2	9	1.0591001301709875	0.10341381264599797	1.0591001301709875	0.115940250662192	0.9556863175249894	0.9431598795087954
GINS4	0.9408499311346921	1.0704645770483998					U	GINS4	GG1	GG2	5	24	1	4	0.726973430590799	-0.34349114645760087	0.726973430590799	-0.213876500543893	1.0704645770483998	0.9408499311346921
CSNK1G2	0.93973617821869	0.9265310909813991					U	CSNK1G2	GG1	GG2	5	24	2	14	0.9487658987912125	0.02223480780981348	0.9487658987912125	0.009029720572522498	0.9265310909813991	0.93973617821869
C4BPA	0.9393249692216934	0.5857668359627235	2.1049803676250796	0.04349551510988743	0.9587604446797906	0.018289891838696243	U	C4BPA	GG1	GG2	5	24	5	24	0.4288613464729322	-0.15690548948979124	0.657412255732504	-0.2819127134891895	0.5857668359627235	0.9393249692216934
TADA2A	0.9373562569564925	0.9373562569564925					U	TADA2A	GG1	GG2	5	24	1	2	0.461640346064642	-0.4757159108918505	0.461640346064642	-0.4757159108918505	0.9373562569564925	0.9373562569564925
PODXL2	0.922625293421003	1.0278545098610339	2.944716371346541	0.00657670366122825	0.9163498181221189	0.03793870201143399	U	PODXL2	GG1	GG2	5	24	4	21	0.6870263596341181	-0.34082815022691576	0.626522972014141	-0.296102321406862	1.0278545098610339	0.922625293421003
S100A2	-0.922267775448724	-0.8213414256576566	-3.7237332288906395	0.0007822161135850829	0.498495154671865	0.30233905863517163	D	S100A2	GG1	GG2	5	24	5	24	-0.8758858964100119	-0.054544470752355356	-0.890427111285696	0.031840664163028	0.8213414256576566	0.922267775448724
SAMD13	-0.919821405049422	-0.9265180310391687					D	SAMD13	GG1	GG2	5	24	1	4	-0.325780637076283	0.6007373939628857	-0.325780637076283	0.594040767973139	0.9265180310391687	0.919821405049422
FAM43A	-0.9192192529785654	-0.951550334701245					D	FAM43A	GG1	GG2	5	24	1	3	-0.932048393389959	0.019501941311285863	-0.932048393389959	-0.0128291404113936	0.951550334701245	0.9192192529785654
EPHA7	0.9178808174811109	0.6166745926099492	3.032393043022928	0.004871000705051238	0.8357513132782143	0.07792293229562892	U	EPHA7	GG1	GG2	5	24	5	24	0.7135175047374	0.0968429121274509	0.968823688939881	0.05094287145877005	0.6166745926099492	0.9178808174811109
PAGE4	0.9167105934836685	0.3906994435514322	1.4587067213056726	0.154704515846771	0.9587604446797906	0.018289891838696243	U	PAGE4	GG1	GG2	5	24	5	24	0.29312293931340483	-0.09757650423802738	0.760431587724891	-0.1562790057587775	0.3906994435514322	0.9167105934836685
